week,function,d,x1,x2,x3,x4,x5,x6,x7,x8,y
1,1,2,0.759779,0.804108,,,,,,,3.1007222612420183e-34
1,2,2,0.717915,0.002064,,,,,,,0.5697925224470959
1,3,3,0.994942,0.051967,0.792526,,,,,,-0.15184421067439557
1,4,4,0.404477,0.413254,0.303108,0.434359,,,,,-0.7158150747637886
1,5,4,0.940282,0.064909,0.998637,0.996528,,,,,3653.9508244023123
1,6,5,0.379776,0.684419,0.068171,0.984146,0.290503,,,,-1.362061899095797
1,7,6,0.015298,0.590564,0.658382,0.751493,0.425786,0.776978,,,0.23953469687403112
1,8,8,0.034492,0.437681,0.011459,0.323393,0.989664,0.04578,0.097175,0.702465,9.5899381138985
2,1,2,0.803235,0.719438,,,,,,,-1.5128848035920745e-27
2,2,2,0.957387,0.923033,,,,,,,-0.07246455447837852
2,3,3,0.009308,0.062825,0.001028,,,,,,-0.18459122364472474
2,4,4,0.398003,0.395708,0.361254,0.442257,,,,,0.17210062777932267
2,5,4,0.99741,0.041752,0.791796,0.974979,,,,,2302.888293792964
2,6,5,0.493449,0.127064,0.631478,0.904964,0.008065,,,,-0.5167300172269783
2,7,6,0.015116,0.182436,0.288522,0.173288,0.397265,0.665194,,,2.106421403862077
2,8,8,0.358728,0.042807,0.355074,0.019341,0.809116,0.05435,0.053363,0.000727,9.4080195084551
3,1,2,0.81,0.73,,,,,,,-6.315914050868028e-31
3,2,2,0.62,0.82,,,,,,,0.1551709649428233
3,3,3,0.7,0.85,0.2,,,,,,-0.14601911938969364
3,4,4,0.41,0.4,0.37,0.45,,,,,-0.03231027880219939
3,5,4,0.95,0.08,0.82,0.95,,,,,1820.0386226597477
3,6,5,0.52,0.15,0.6,0.88,0.05,,,,-0.5790954443054444
3,7,6,0.03,0.2,0.3,0.2,0.42,0.7,,,2.081316196964551
3,8,8,0.4,0.08,0.38,0.05,0.78,0.08,0.09,0.05,9.38655
4,1,2,0.65,0.65,,,,,,,0.19574056182365185
4,2,2,0.6,0.6,,,,,,,0.06559172383252594
4,3,3,0.4,0.4,0.4,,,,,,-0.02317521778184225
4,4,4,0.405,0.395,0.365,0.445,,,,,0.11235148371098136
4,5,4,0.93,0.07,0.98,0.98,,,,,3139.315002081799
4,6,5,0.55,0.2,0.65,0.9,0.05,,,,-0.4885048992694732
4,7,6,0.02,0.22,0.32,0.22,0.44,0.72,,,1.9420943968060265
4,8,8,0.38,0.07,0.36,0.04,0.8,0.07,0.08,0.06,9.42314
5,1,2,0.67,0.63,,,,,,,-0.011126629970519513
5,2,2,0.55,0.65,,,,,,,0.27703361070471405
5,3,3,0.3,0.5,0.4,,,,,,-0.030841599630695098
5,4,4,0.415,0.385,0.355,0.455,,,,,-0.09335486467164911
5,5,4,0.92,0.09,0.96,0.97,,,,,2739.141203834394
5,6,5,0.58,0.23,0.68,0.88,0.07,,,,-0.5354970357103968
5,7,6,0.03,0.24,0.34,0.24,0.46,0.74,,,1.8107605530408162
5,8,8,0.39,0.09,0.37,0.06,0.79,0.09,0.1,0.08,9.43211
6,1,2,0.7,0.6,,,,,,,-6.140981384114098e-05
6,2,2,0.5,0.7,,,,,,,0.6093110097141048
6,3,3,0.35,0.55,0.45,,,,,,-0.0064795267698472825
6,4,4,0.4,0.4,0.35,0.45,,,,,-0.01683800125710233
6,5,4,0.94,0.08,0.97,0.96,,,,,2917.697037051687
6,6,5,0.6,0.26,0.72,0.9,0.09,,,,-0.5243741072755571
6,7,6,0.025,0.26,0.36,0.26,0.48,0.76,,,1.6110277606592711
6,8,8,0.4,0.1,0.38,0.07,0.8,0.1,0.11,0.09,9.42139
7,1,2,0.64,0.64,,,,,,,1.0564719793722386
7,2,2,0.45,0.75,,,,,,,0.057332586929453574
7,3,3,0.37,0.57,0.47,,,,,,-0.0002479018705152763
7,4,4,0.398,0.395,0.361,0.442,,,,,0.17773128771409263
7,5,4,0.94,0.06,0.998,0.996,,,,,3636.4346291052143
7,6,5,0.54,0.19,0.64,0.89,0.04,,,,-0.4762217871571073
7,7,6,0.015,0.182,0.288,0.173,0.397,0.665,,,2.1056615318944987
7,8,8,0.034,0.437,0.011,0.323,0.989,0.045,0.097,0.702,9.5893631
8,1,2,0.63,0.63,,,,,,,1.9796320316224518
8,2,2,0.48,0.72,,,,,,,0.5221705386684005
8,3,3,0.38,0.58,0.48,,,,,,-0.006061532108970614
8,4,4,0.397,0.394,0.36,0.441,,,,,0.2022711281059455
8,5,4,0.941,0.066,0.999,0.997,,,,,3671.957773777499
8,6,5,0.53,0.18,0.63,0.88,0.03,,,,-0.4757668250170818
8,7,6,0.014,0.18,0.285,0.17,0.395,0.66,,,2.0970194485612095
8,8,8,0.033,0.436,0.01,0.322,0.99,0.044,0.096,0.701,9.5878039
